ano,sintoma,resposta,n
2019,ARTRALGIA,Ignorado/Branco,112
2019,ARTRALGIA,Nao,4329
2019,ARTRALGIA,Sim,1212
2019,CEFALEIA,Ignorado/Branco,112
2019,CEFALEIA,Nao,1252
2019,CEFALEIA,Sim,4289
2019,DOR_COSTAS,Ignorado/Branco,112
2019,DOR_COSTAS,Nao,3724
2019,DOR_COSTAS,Sim,1817
2019,DOR_RETRO,Ignorado/Branco,112
2019,DOR_RETRO,Nao,3720
2019,DOR_RETRO,Sim,1821
2019,EXANTEMA,Ignorado/Branco,112
2019,EXANTEMA,Nao,4382
2019,EXANTEMA,Sim,1159
2019,FEBRE,Ignorado/Branco,112
2019,FEBRE,Nao,772
2019,FEBRE,Sim,4769
2019,LACO,Ignorado/Branco,112
2019,LACO,Nao,5272
2019,LACO,Sim,269
2019,LEUCOPENIA,Ignorado/Branco,112
2019,LEUCOPENIA,Nao,5085
2019,LEUCOPENIA,Sim,456
2019,MIALGIA,Ignorado/Branco,112
2019,MIALGIA,Nao,1275
2019,MIALGIA,Sim,4266
2019,NAUSEA,Ignorado/Branco,112
2019,NAUSEA,Nao,3449
2019,NAUSEA,Sim,2092
2019,PETEQUIA_N,Ignorado/Branco,112
2019,PETEQUIA_N,Nao,4918
2019,PETEQUIA_N,Sim,623
2019,VOMITO,Ignorado/Branco,112
2019,VOMITO,Nao,4220
2019,VOMITO,Sim,1321
2020,ARTRALGIA,Ignorado/Branco,38123
2020,ARTRALGIA,Nao,1154779
2020,ARTRALGIA,Sim,295415
2020,CEFALEIA,Ignorado/Branco,38123
2020,CEFALEIA,Nao,320875
2020,CEFALEIA,Sim,1129319
2020,DOR_COSTAS,Ignorado/Branco,38123
2020,DOR_COSTAS,Nao,941619
2020,DOR_COSTAS,Sim,508575
2020,DOR_RETRO,Ignorado/Branco,38123
2020,DOR_RETRO,Nao,910956
2020,DOR_RETRO,Sim,539238
2020,EXANTEMA,Ignorado/Branco,38123
2020,EXANTEMA,Nao,1106023
2020,EXANTEMA,Sim,344171
2020,FEBRE,Ignorado/Branco,38123
2020,FEBRE,Nao,281403
2020,FEBRE,Sim,1168791
2020,LACO,Ignorado/Branco,38123
2020,LACO,Nao,1369101
2020,LACO,Sim,81093
2020,LEUCOPENIA,Ignorado/Branco,38123
2020,LEUCOPENIA,Nao,1353563
2020,LEUCOPENIA,Sim,96631
2020,MIALGIA,Ignorado/Branco,38123
2020,MIALGIA,Nao,340081
2020,MIALGIA,Sim,1110113
2020,NAUSEA,Ignorado/Branco,38123
2020,NAUSEA,Nao,926218
2020,NAUSEA,Sim,523976
2020,PETEQUIA_N,Ignorado/Branco,38123
2020,PETEQUIA_N,Nao,1282891
2020,PETEQUIA_N,Sim,167303
2020,VOMITO,Ignorado/Branco,38123
2020,VOMITO,Nao,1156719
2020,VOMITO,Sim,293475
2021,ARTRALGIA,Ignorado/Branco,22390
2021,ARTRALGIA,Nao,804791
2021,ARTRALGIA,Sim,197135
2021,CEFALEIA,Ignorado/Branco,22390
2021,CEFALEIA,Nao,262557
2021,CEFALEIA,Sim,739369
2021,DOR_COSTAS,Ignorado/Branco,22390
2021,DOR_COSTAS,Nao,706801
2021,DOR_COSTAS,Sim,295125
2021,DOR_RETRO,Ignorado/Branco,22390
2021,DOR_RETRO,Nao,710399
2021,DOR_RETRO,Sim,291527
2021,EXANTEMA,Ignorado/Branco,22390
2021,EXANTEMA,Nao,821385
2021,EXANTEMA,Sim,180541
2021,FEBRE,Ignorado/Branco,22390
2021,FEBRE,Nao,228535
2021,FEBRE,Sim,773391
2021,LACO,Ignorado/Branco,22390
2021,LACO,Nao,965272
2021,LACO,Sim,36654
2021,LEUCOPENIA,Ignorado/Branco,22390
2021,LEUCOPENIA,Nao,963547
2021,LEUCOPENIA,Sim,38379
2021,MIALGIA,Ignorado/Branco,22390
2021,MIALGIA,Nao,289081
2021,MIALGIA,Sim,712845
2021,NAUSEA,Ignorado/Branco,22390
2021,NAUSEA,Nao,694955
2021,NAUSEA,Sim,306971
2021,PETEQUIA_N,Ignorado/Branco,22390
2021,PETEQUIA_N,Nao,901886
2021,PETEQUIA_N,Sim,100040
2021,VOMITO,Ignorado/Branco,22390
2021,VOMITO,Nao,807686
2021,VOMITO,Sim,194240
2022,ARTRALGIA,Ignorado/Branco,56274
2022,ARTRALGIA,Nao,1066054
2022,ARTRALGIA,Sim,284224
2022,CEFALEIA,Ignorado/Branco,56274
2022,CEFALEIA,Nao,301656
2022,CEFALEIA,Sim,1048622
2022,DOR_COSTAS,Ignorado/Branco,56274
2022,DOR_COSTAS,Nao,936689
2022,DOR_COSTAS,Sim,413589
2022,DOR_RETRO,Ignorado/Branco,56274
2022,DOR_RETRO,Nao,945052
2022,DOR_RETRO,Sim,405226
2022,EXANTEMA,Ignorado/Branco,56274
2022,EXANTEMA,Nao,1155808
2022,EXANTEMA,Sim,194470
2022,FEBRE,Ignorado/Branco,56274
2022,FEBRE,Nao,212088
2022,FEBRE,Sim,1138190
2022,LACO,Ignorado/Branco,56274
2022,LACO,Nao,1302414
2022,LACO,Sim,47864
2022,LEUCOPENIA,Ignorado/Branco,56274
2022,LEUCOPENIA,Nao,1279583
2022,LEUCOPENIA,Sim,70695
2022,MIALGIA,Ignorado/Branco,56274
2022,MIALGIA,Nao,296125
2022,MIALGIA,Sim,1054153
2022,NAUSEA,Ignorado/Branco,56274
2022,NAUSEA,Nao,838086
2022,NAUSEA,Sim,512192
2022,PETEQUIA_N,Ignorado/Branco,56274
2022,PETEQUIA_N,Nao,1230239
2022,PETEQUIA_N,Sim,120039
2022,VOMITO,Ignorado/Branco,56274
2022,VOMITO,Nao,1023849
2022,VOMITO,Sim,326429
2023,ARTRALGIA,Ignorado/Branco,52964
2023,ARTRALGIA,Nao,1288543
2023,ARTRALGIA,Sim,304056
2023,CEFALEIA,Ignorado/Branco,52964
2023,CEFALEIA,Nao,338742
2023,CEFALEIA,Sim,1253857
2023,DOR_COSTAS,Ignorado/Branco,52964
2023,DOR_COSTAS,Nao,1137799
2023,DOR_COSTAS,Sim,454800
2023,DOR_RETRO,Ignorado/Branco,52964
2023,DOR_RETRO,Nao,1100167
2023,DOR_RETRO,Sim,492432
2023,EXANTEMA,Ignorado/Branco,52964
2023,EXANTEMA,Nao,1418514
2023,EXANTEMA,Sim,174085
2023,FEBRE,Ignorado/Branco,52964
2023,FEBRE,Nao,249486
2023,FEBRE,Sim,1343113
2023,LACO,Ignorado/Branco,52964
2023,LACO,Nao,1530651
2023,LACO,Sim,61948
2023,LEUCOPENIA,Ignorado/Branco,52964
2023,LEUCOPENIA,Nao,1525653
2023,LEUCOPENIA,Sim,66946
2023,MIALGIA,Ignorado/Branco,52964
2023,MIALGIA,Nao,328414
2023,MIALGIA,Sim,1264185
2023,NAUSEA,Ignorado/Branco,52964
2023,NAUSEA,Nao,980686
2023,NAUSEA,Sim,611913
2023,PETEQUIA_N,Ignorado/Branco,52964
2023,PETEQUIA_N,Nao,1486581
2023,PETEQUIA_N,Sim,106018
2023,VOMITO,Ignorado/Branco,52964
2023,VOMITO,Nao,1205143
2023,VOMITO,Sim,387456
2024,ARTRALGIA,Ignorado/Branco,114153
2024,ARTRALGIA,Nao,5343819
2024,ARTRALGIA,Sim,1109159
2024,CEFALEIA,Ignorado/Branco,114153
2024,CEFALEIA,Nao,1281119
2024,CEFALEIA,Sim,5171859
2024,DOR_COSTAS,Ignorado/Branco,114153
2024,DOR_COSTAS,Nao,4483789
2024,DOR_COSTAS,Sim,1969189
2024,DOR_RETRO,Ignorado/Branco,114153
2024,DOR_RETRO,Nao,4367028
2024,DOR_RETRO,Sim,2085950
2024,EXANTEMA,Ignorado/Branco,114153
2024,EXANTEMA,Nao,5829060
2024,EXANTEMA,Sim,623918
2024,FEBRE,Ignorado/Branco,114153
2024,FEBRE,Nao,942260
2024,FEBRE,Sim,5510718
2024,LACO,Ignorado/Branco,114153
2024,LACO,Nao,6238678
2024,LACO,Sim,214300
2024,LEUCOPENIA,Ignorado/Branco,114153
2024,LEUCOPENIA,Nao,6210240
2024,LEUCOPENIA,Sim,242738
2024,MIALGIA,Ignorado/Branco,114153
2024,MIALGIA,Nao,1312660
2024,MIALGIA,Sim,5140318
2024,NAUSEA,Ignorado/Branco,114153
2024,NAUSEA,Nao,3603148
2024,NAUSEA,Sim,2849830
2024,PETEQUIA_N,Ignorado/Branco,114153
2024,PETEQUIA_N,Nao,6097323
2024,PETEQUIA_N,Sim,355655
2024,VOMITO,Ignorado/Branco,114153
2024,VOMITO,Nao,4691862
2024,VOMITO,Sim,1761116
2025,ARTRALGIA,Ignorado/Branco,53192
2025,ARTRALGIA,Nao,1308308
2025,ARTRALGIA,Sim,274638
2025,CEFALEIA,Ignorado/Branco,53192
2025,CEFALEIA,Nao,305669
2025,CEFALEIA,Sim,1277277
2025,DOR_COSTAS,Ignorado/Branco,53192
2025,DOR_COSTAS,Nao,1122002
2025,DOR_COSTAS,Sim,460944
2025,DOR_RETRO,Ignorado/Branco,53192
2025,DOR_RETRO,Nao,1088808
2025,DOR_RETRO,Sim,494138
2025,EXANTEMA,Ignorado/Branco,53192
2025,EXANTEMA,Nao,1450689
2025,EXANTEMA,Sim,132257
2025,FEBRE,Ignorado/Branco,53192
2025,FEBRE,Nao,215788
2025,FEBRE,Sim,1367158
2025,LACO,Ignorado/Branco,53192
2025,LACO,Nao,1541116
2025,LACO,Sim,41830
2025,LEUCOPENIA,Ignorado/Branco,53192
2025,LEUCOPENIA,Nao,1512744
2025,LEUCOPENIA,Sim,70202
2025,MIALGIA,Ignorado/Branco,53192
2025,MIALGIA,Nao,303358
2025,MIALGIA,Sim,1279588
2025,NAUSEA,Ignorado/Branco,53192
2025,NAUSEA,Nao,889211
2025,NAUSEA,Sim,693735
2025,PETEQUIA_N,Ignorado/Branco,53192
2025,PETEQUIA_N,Nao,1498099
2025,PETEQUIA_N,Sim,84847
2025,VOMITO,Ignorado/Branco,53192
2025,VOMITO,Nao,1157934
2025,VOMITO,Sim,425012
2026,ARTRALGIA,Ignorado/Branco,17014
2026,ARTRALGIA,Nao,302596
2026,ARTRALGIA,Sim,69265
2026,CEFALEIA,Ignorado/Branco,17014
2026,CEFALEIA,Nao,78216
2026,CEFALEIA,Sim,293645
2026,DOR_COSTAS,Ignorado/Branco,17014
2026,DOR_COSTAS,Nao,275333
2026,DOR_COSTAS,Sim,96528
2026,DOR_RETRO,Ignorado/Branco,17014
2026,DOR_RETRO,Nao,263994
2026,DOR_RETRO,Sim,107867
2026,EXANTEMA,Ignorado/Branco,17014
2026,EXANTEMA,Nao,336499
2026,EXANTEMA,Sim,35362
2026,FEBRE,Ignorado/Branco,17014
2026,FEBRE,Nao,46751
2026,FEBRE,Sim,325110
2026,LACO,Ignorado/Branco,17014
2026,LACO,Nao,365149
2026,LACO,Sim,6712
2026,LEUCOPENIA,Ignorado/Branco,17014
2026,LEUCOPENIA,Nao,356410
2026,LEUCOPENIA,Sim,15451
2026,MIALGIA,Ignorado/Branco,17014
2026,MIALGIA,Nao,77000
2026,MIALGIA,Sim,294861
2026,NAUSEA,Ignorado/Branco,17014
2026,NAUSEA,Nao,216617
2026,NAUSEA,Sim,155244
2026,PETEQUIA_N,Ignorado/Branco,17014
2026,PETEQUIA_N,Nao,346775
2026,PETEQUIA_N,Sim,25086
2026,VOMITO,Ignorado/Branco,17014
2026,VOMITO,Nao,262659
2026,VOMITO,Sim,109202
